record_id,domain,paper_id,candidate_count,internal_candidate_count,external_candidate_count,top_source,top_type,top_claim,final_score,candidate_to_text_support,text_to_candidate_salience,best_sentence,description,caption
test-CL:1906.11746v2:0:0,C&L,1906.11746v2,59,58,1,rule,comparison,"Chen et al. ( 2018 ) outperforms This paper (GloVe) on 2/2 shared numeric columns, with an average difference of 5.605.",0.364055,0.031233,0.0,Table 1 (upper part) shows the results of our basic semantic parser (with GloVe embeddings) on all six graphbanks,"Table 1 (upper part) shows the results of our basic semantic parser (with GloVe embeddings) on all six graphbanks [CONTINUE] Our results are competitive across the board, and set a new state of the art for EDS Smatch scores (Cai and Knight, 2013) among EDS parsers which are not trained on gold syntax information. [CONTINUE] Our EDM score (Dridan and Oepen, 2011) on EDS is lower, [CONTINUE] The use of BERT embeddings is highly effective across the board. We set a new state of the art (without gold syntax) on all graphbanks except AMR 2017; [CONTINUE] The improvement is particularly pronounced in the out-of-domain evaluations, illustrating BERT's ability to transfer across domains. [CONTINUE] ",Table 1: Semantic parsing accuracies (id = in domain test set; ood = out of domain test set).
test-CL:1805.02474v1:12:12,C&L,1805.02474v1,76,76,0,rule,comparison,"IMDB outperforms MR on 6/6 shared numeric columns, with an average difference of 115.8.",0.361105,0.024678,0.0,"3-layer stacked BiLSTM gives an average accuracy of 84.57%, which is lower compared to a 2-layer stacked BiLSTM, with a training time per epoch of 423.6 seconds","The final results on the movie review and rich text classification datasets are shown in Tables 4 and 5, respectively. [CONTINUE] As shown in Table 5, among the 16 datasets [CONTINUE] S-LSTM gives the best results on 12, compared with BiLSTM and 2 layered BiLSTM models. The average accuracy of S-LSTM is 85.6%, significantly higher compared with 84.9% by 2-layer stacked BiLSTM. 3-layer stacked BiLSTM gives an average accuracy of 84.57%, which is lower compared to a 2-layer stacked BiLSTM, with a training time per epoch of 423.6 seconds.",Table 5: Results on the 16 datasets of Liu et al. (2017). Time format: train (test)
test-CL:1907.13337v1:24:24,C&L,1907.13337v1,52,33,19,rule,comparison,"CS + top outperforms CS + bot on 5/5 shared numeric columns, with an average difference of 13.58.",0.384003,0.075562,0.0,"Second, we vary the 3-layer representation out of ELMo forward language model to do contextual matching (bot/mid/top: bottom/middle/top layer only, avg: average of 3 layers, cat: concatenation of all layers)","Table 3 considers analysis of different aspects of the model. [CONTINUE] First, we look at the [CONTINUE] fluency model and compare the cluster smoothing (CS) approach with softmax temperature (TEMPx with x being the temperature) commonly used for generation in LM-integrated models (Chorowski and Jaitly, 2016) as well as no adjustment (NA). Second, we vary the 3-layer representation out of ELMo forward language model to do contextual matching (bot/mid/top: bottom/middle/top layer only, avg: average of 3 layers, cat: concatenation of all layers). [CONTINUE] Results show the effectiveness of our cluster smoothing method for the vocabulary adaptive language model pfm, although temperature smoot","Table 3: Comparison of different model choices. The top section evaluates the effects of contextual representation in the matching model, and the bottom section evaluates the effects of different smoothing methods in the fluency model."
test-CL:1901.02534v1:36:36,C&L,1901.02534v1,24,6,18,pure_llm_with_description,comparison,"On the development set, using narrow evidence (FEVER Title One (Narrow Evidence)) reduces FEVER score to .5550 from .5617 (FEVER Title One).",0.584254,0.297111,0.575687,"Limiting evidence in this way when only five statements are retrieved (""narrow evidence"" in Table 4) pushes FEVER score down very little, to .5550 from .5617 on the development set,","Limiting evidence in this way when only five statements are retrieved (""narrow evidence"" in Table 4) pushes FEVER score down very little, to .5550 from .5617 on the development set, [CONTINUE] Indeed, when the system reviews the extra evidence, FEVER score goes up to .5844 on the development set.",Table 4: FEVER Score of various systems. All use NE+Film retrieval.
test-CL:1905.08205v2:48:48,C&L,1905.08205v2,38,22,16,rule,comparison,"SyntaxSQLNet(BERT) outperforms Seq2Seq on 2/2 shared numeric columns, with an average difference of 23.75.",0.382259,0.071687,0.0,"It is clear that our base model significantly outperforms SyntaxSQLNet, SyntaxSQLNet( augment) and SyntaxSQLNet(BERT)","As shown in Table 3, there are at least 6.6% and up to 14.4% absolute improvements on accuracy of exact matching on the development set. For example, when SyntaxSQLNet is learned to generate SemQL queries instead of SQL queries, it registers 8.6% absolute improvement and even outperforms SyntaxSQLNet(augment) which performs largescale data augmentation. [CONTINUE] Table 4 presents the ablation study results. It is clear that our base model significantly outperforms SyntaxSQLNet, SyntaxSQLNet( augment) and SyntaxSQLNet(BERT). Performing schema linking ('+SL') brings about 8.5% and 6.4% absolute improvement on IRNet and IRNet(BERT). [CONTINUE] The F1 score on the WHERE clause increases by 12.5","Table 3: Exact matching accuracy on development set. The header ‘SQL’ means that the approaches are learned to generate SQL, while the header ‘SemQL’ indicates that they are learned to generate SemQL queries."
test-CL:1908.03402v1:60:60,C&L,1908.03402v1,15,0,15,pure_llm_with_description,comparison,"The gap between eScape and dev BLEU scores is 39.47 points, showing a large drop for synthetic data.",0.500826,0.149983,1.0,"Table 1 shows that there is a significant gap between the synthetic eScape data set (Negri et al., 2018) and the real-life data sets (the development set and the original training set from posteditors),","We then tested the BLEU scores between machine translation results and corresponding gold standard post-editing results on the original development set, the training set and the synthetic data as shown in Table 1. [CONTINUE] Table 1 shows that there is a significant gap between the synthetic eScape data set (Negri et al., 2018) and the real-life data sets (the development set and the original training set from posteditors),",Table 1: BLEU Scores of Data Sets
test-CL:1905.05979v2:72:72,C&L,1905.05979v2,18,2,16,qtp_adapted_with_description,extremum,"T-V distinction is the most frequent discrepancy, at 67%.",0.412148,0.163744,0.622873,"From Table 3, we see that the most frequent error category related to deixis in our annotated corpus is the inconsistency of T-V forms when translating second person pronouns","Most errors in our annotated corpus are related to person deixis, specifically gender marking in the Russian translation, and the T-V distinction between informal and formal you (Latin ""tu"" and ""vos""). [CONTINUE] From Table 3, we see that the most frequent error category related to deixis in our annotated corpus is the inconsistency of T-V forms when translating second person pronouns.",Table 3: Types of discrepancy in context-agnostic translation caused by deixis (excluding anaphora)
test-CL:1906.01327v1:84:84,C&L,1906.01327v1,18,2,16,pure_llm_with_description,comparison,Yang et al. (Transfer) (0.858) outperforms Bagherinezhad et al. (0.835) by 2.3 percentage points.,0.491153,0.195164,0.363867,We also tested the method by Yang et al,"noun comparatives is on RELATIVE (Bagherinezhad et al., 2016), presented in Table 5. [CONTINUE] We report the results of the original work, where the best score used a combination of visual and textual signals, achieving 83.5% accuracy. We also tested the method by Yang et al. (2018) on this dataset. [CONTINUE] The accuracy achieved by this method is 85.8%, surpassing the previous method by more than 2 points. We evaluated our method on this dataset, achieving a new state-of-the-art result of 87.7% accuracy with k = 10 as a filter method.","Table 5: Results on the Relative dataset. Yang et al. (2018) result was achieved by running their model on their training set, and using it as a transfer method on Relative. Finally, we present our own predictions, with different thresholds, which surpass previous work."
test-CL:1807.06683v1:96:96,C&L,1807.06683v1,23,2,21,pure_llm_with_description,comparison,"Single-task model (md) outperforms all joint-learning models (joint1, joint2, j_multi), confirming no benefit from joint learning for MD.",0.382777,0.106654,0.0,"We have to also note that in contrast with the NER task, the MD task did not enjoy a performance increase from joint learning","As can be seen from Table 2, we are very close to the state of the [CONTINUE] art MD performance even if we only trained with a low number of parameters as stated in the beginning of this section. We have to also note that in contrast with the NER task, the MD task did not enjoy a performance increase from joint learning.","Table 2: Evaluation of our models for MD performance. As in the NER evaluation, we report accuracies over the test dataset averaged over 10 replications of the training."
test-CL:1710.03430v3:108:108,C&L,1710.03430v3,25,18,7,pure_llm_with_description,comparison,"All proposed models (RDE-LTC, HRDE, HRDE-LTC) outperform the TF-IDF baseline on all metrics.",0.610373,0.134163,1.0,"Table 5 indicates the proposed RDE-LTC, HRDE, and the that HRDE-LTC model show performance improvements when compared to the baseline model, TFIDF and RDE","Table 5 indicates the proposed RDE-LTC, HRDE, and the that HRDE-LTC model show performance improvements when compared to the baseline model, TFIDF and RDE.",Table 5: Model performance results for the Samsung QA dataset.
